dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
36,226,3948,63,342,7422,98,32,2448,76
42,729,9289,73,710,8036,66,138,3085,87
46,269,9398,98,1,3378,1,974,412,98
5,444,2451,52,927,281,38,33,2700,20
37,235,9860,82,775,1788,58,61,8889,76
60,211,7726,47,635,1474,38,611,6664,47
3,99,7233,20,292,9872,71,562,1482,2
4,587,9976,4,291,5119,21,429,8504,47
69,766,9654,83,464,6090,16,889,7574,71
59,188,4154,91,430,6545,49,257,4131,72
76,8,3792,16,477,2952,27,588,1661,68
87,352,2940,86,66,1166,89,523,1714,1
91,636,7189,54,445,3293,26,689,7793,30
76,215,8975,28,93,6764,1,18,8211,58
55,968,4234,99,477,4969,79,241,4640,94
81,407,1034,87,153,7356,31,394,7862,25
58,733,1717,52,80,4737,10,956,3149,55
6,196,5808,16,0,6391,33,923,7471,76
67,903,1536,82,542,6866,8,860,7981,80
30,590,2395,60,337,631,23,193,3797,88
87,428,7613,83,708,9208,7,351,8872,12
85,948,90,29,113,6540,46,389,6104,19
84,758,7107,79,185,8866,18,606,6350,39
47,275,8403,67,300,6448,56,521,2967,3
41,825,236,98,16,4013,54,753,9967,46
89,846,8069,6,215,4599,97,380,4111,70
29,725,7085,60,967,3372,17,274,7152,81
50,223,35,12,172,4543,29,83,9700,33
34,581,1651,4,660,6243,72,111,26,24
61,357,5542,19,592,5679,96,976,5631,20
50,366,9829,44,247,4855,99,134,1459,54
86,928,9446,26,567,2194,65,228,5175,54
49,444,7478,14,382,6610,27,360,1524,43
29,650,2473,21,301,3999,86,746,5558,89
18,475,8391,64,819,9169,90,504,5838,42
95,642,5719,27,947,8744,54,374,9406,19
49,877,5124,8,947,3575,82,445,3821,39
53,304,4721,7,808,4333,59,386,8800,71
82,952,1503,91,81,8671,83,497,3033,74
85,66,1250,71,545,3409,23,796,4324,75
3,668,5112,12,905,8220,8,851,4151,22
11,375,7784,26,544,4669,16,916,769,52
14,10,6094,73,530,8721,2,839,8953,51
14,868,5281,3,336,8163,83,386,2709,30
9,763,1697,19,167,7691,19,586,5593,45
60,364,1415,53,337,4139,64,806,5782,72
18,694,2222,76,287,659,53,344,7179,16
52,618,5688,12,504,9560,9,47,1828,92
71,991,6990,67,15,8317,42,88,7473,58
56,561,2049,69,640,1047,84,983,8814,25
94,654,2968,98,108,3696,33,871,1309,29
8,131,5371,95,727,3556,58,981,243,39
28,287,5309,82,780,3087,54,750,7697,96
6,435,6797,34,354,2324,69,681,7717,86
71,234,4865,29,346,2861,86,354,8855,62
16,829,7219,52,355,567,76,718,1342,76
78,353,9927,95,246,6706,4,94,3625,51
15,713,3828,20,489,294,57,838,6115,2
70,605,9735,38,392,5693,10,837,4416,83
82,40,3899,4,170,1804,81,971,1317,81
37,209,6999,22,302,4250,53,315,5829,63
88,912,1504,21,134,9246,43,281,2176,88
75,644,2523,40,195,8163,80,815,1190,61
95,327,8077,27,237,8800,95,587,2575,29
46,381,592,3,305,9607,89,32,9444,89
9,743,3173,8,95,9868,73,669,801,78
23,749,485,71,389,2453,95,159,2213,65
49,324,4856,1,84,4474,13,144,2660,27
67,80,9730,92,54,658,51,937,7644,11
42,486,7080,18,689,1667,81,471,7463,2
36,38,502,59,408,3986,10,412,6946,13
44,745,109,68,661,9867,87,857,7568,11
53,986,2405,38,2,1042,61,281,8218,70
42,799,8466,45,283,4438,96,921,8258,82
67,902,9927,5,556,205,15,458,5832,41
99,853,1716,66,252,9766,99,635,856,15
36,843,849,74,502,6179,35,525,7878,89
88,177,8107,99,891,715,55,94,8275,72
40,87,4998,84,735,1704,51,137,7735,43
93,304,2100,90,923,9281,14,439,9052,42
0,938,915,24,787,9831,5,62,5756,8
92,656,9096,2,449,2468,99,91,2518,30
15,454,3007,70,983,4266,20,934,6298,29
36,495,8316,2,337,2232,63,487,5103,13
36,464,7463,31,362,6084,79,857,6889,28
6,275,4837,47,555,7374,25,759,7829,83
39,474,8898,1,563,5533,91,96,9211,2
50,300,5530,6,550,9387,50,344,6348,48
63,457,6899,3,439,5422,89,841,1593,19
96,965,5790,50,728,8525,9,581,1322,80
21,943,6253,94,911,3378,91,704,5942,57
42,927,3895,84,890,387,32,7,3742,77
61,244,3647,35,812,2260,57,381,7867,18
53,123,1926,40,748,3810,48,445,4084,40
26,135,9003,15,630,2674,24,624,6377,23
28,250,7293,30,743,7539,74,43,9045,86
15,43,6604,44,675,3816,99,614,7998,88
84,317,9388,91,566,4277,94,825,4194,31
10,107,1637,27,55,3148,86,264,5435,45
20,338,1326,90,405,4478,57,580,3724,50
8,82,9712,88,313,4491,60,837,9003,90
26,789,6300,76,867,5837,27,126,8546,78
85,418,9990,24,593,9004,61,329,5701,74
78,411,864,65,417,165,33,395,5082,74
22,672,803,6,866,2500,36,584,1489,11
50,261,6913,36,115,6056,64,859,5170,72
92,907,6908,28,198,4282,89,749,9036,58
79,96,6018,25,34,7123,77,131,1493,61
2,817,6043,61,607,1280,29,873,3349,31
15,888,7957,4,19,6741,85,138,139,73
7,993,3921,87,629,2518,52,454,5345,39
89,60,3680,11,212,6440,98,810,5940,3
41,561,8996,88,996,1714,17,784,9080,21
72,75,6418,28,714,2507,40,763,7531,35
34,676,7203,69,306,3675,29,999,2484,22
70,371,5738,61,517,8719,42,642,5954,93
71,227,8744,33,756,1153,51,144,4909,40
98,889,9431,16,755,494,64,681,3023,97
47,706,7584,22,583,7022,27,354,7538,56
53,867,7169,41,372,6549,89,979,1132,40
35,230,2176,76,779,1988,56,711,2216,31
5,572,3050,47,580,3828,56,180,3705,12
70,859,1300,68,920,9478,22,740,7067,60
11,498,3916,7,531,4079,3,415,2844,32
58,778,7308,26,246,1664,62,210,2522,2
64,335,8277,17,703,2464,61,702,3668,9
49,437,8630,5,871,9437,75,56,5675,43
42,66,4290,27,370,1066,71,83,9348,61
42,469,9145,3,771,2260,67,453,5661,18
48,57,6638,47,91,7822,83,174,2158,17
88,816,4897,37,380,6052,22,111,6042,63
75,974,3186,99,201,8582,81,217,7999,39
54,354,3109,3,533,9356,84,313,9992,87
90,595,8507,97,686,7370,16,989,4402,80
86,426,2326,0,619,407,93,507,5235,89
82,195,4021,92,372,8590,60,725,384,54
84,348,9474,35,12,7561,16,757,2024,13
49,211,8965,35,806,1276,18,81,9013,29
20,28,219,21,930,6719,7,20,6868,21
87,141,6515,69,91,8816,98,727,12,64
12,384,840,97,304,4149,84,182,3268,46
41,785,1301,0,61,4013,11,177,4362,96
99,208,3600,73,369,5866,26,635,8573,96
14,270,3205,66,472,980,79,33,1440,62
49,115,1594,32,745,6662,64,711,3031,21
0,88,5606,84,644,7631,63,437,3500,37
50,268,1432,73,235,7041,19,808,9015,99
33,631,5010,89,650,7218,69,486,908,74
41,480,1255,86,399,293,91,850,5883,30
61,535,7061,15,35,5905,1,686,8321,16
94,417,263,40,736,7949,26,783,1407,5
31,394,52,65,680,6295,51,275,5783,35
99,484,7994,16,847,398,40,662,9626,21
60,701,2378,20,909,4863,12,758,9632,64
92,558,5457,94,274,6836,37,812,6028,60
53,24,4496,49,509,7990,73,814,4005,75
73,104,673,96,528,810,94,210,1299,81
57,415,3251,25,534,7464,18,658,6940,63
84,64,846,22,813,9547,40,4,3623,6
99,28,4927,11,611,9747,31,154,6077,46
23,680,2389,74,105,2053,95,754,5597,22
26,458,9591,48,310,3307,72,3,9966,48
20,21,5698,24,668,9101,6,876,967,37
17,587,4158,69,112,3982,22,719,230,59
54,640,9082,67,84,8010,33,16,2770,69
67,15,2075,47,300,6866,60,302,7515,94
46,911,7037,39,19,314,45,127,9639,28
53,230,846,30,107,403,65,630,3898,32
17,642,5133,60,857,2377,70,196,4193,98
72,356,9589,82,987,1675,15,294,8616,41
63,227,9981,92,72,4740,31,430,9052,63
48,605,7963,12,516,4834,98,69,4751,37
93,764,9291,41,605,384,32,110,6037,15
34,763,9089,61,495,6546,61,918,5178,26
93,514,4620,48,349,3114,28,937,8011,89
38,226,7525,79,44,2240,44,270,35,9
57,435,564,13,973,138,24,4,2690,19
56,286,8635,48,244,3832,5,727,1353,84
5,546,4280,86,543,7561,82,710,1920,99
77,117,3841,50,199,3898,16,944,1985,36
92,433,3338,33,544,2752,61,637,3140,4
95,203,5594,8,888,7139,49,861,2036,85
77,368,217,84,368,4475,10,223,6954,83
19,989,2324,47,73,5937,25,631,635,19
49,984,9373,35,313,4116,53,238,6038,21
8,534,7362,90,64,7658,40,923,975,68
75,592,3090,99,387,4831,78,875,3357,8
13,743,9001,20,181,2472,91,917,4534,17
22,64,2758,10,301,2672,6,241,8988,48
47,720,7182,69,719,9091,69,402,6154,86
97,885,447,70,318,4032,35,679,9754,53
79,488,2663,65,739,6485,36,940,7916,28
81,746,1067,3,892,7862,67,544,421,6
55,108,1785,7,325,5961,3,750,9366,81
39,826,7896,63,719,6121,98,927,7532,38
96,254,8256,29,96,3665,17,656,6073,59
68,418,2806,47,925,6406,6,630,5124,12
38,62,7924,20,137,6388,20,898,190,78
73,657,3426,24,954,2279,8,626,4927,30
85,9,473,35,832,8143,4,415,4890,22
42,46,4326,30,891,2458,47,428,4580,30
96,122,6418,65,837,7791,84,32,8310,60
30,378,5106,24,990,3751,82,94,4460,30
69,32,3738,40,475,8952,78,374,858,82
99,5,5705,16,486,9935,38,619,868,48
2,532,4706,54,265,6398,74,586,5487,73
3,814,8312,11,431,7934,14,365,7721,59
26,413,5033,2,530,6104,53,949,9068,79
88,473,8751,43,49,2304,53,444,1188,95
26,764,4231,6,453,5652,80,616,4999,29
99,966,5177,91,437,7123,73,882,9790,99
46,532,2762,66,41,3229,31,750,1908,16
59,997,294,83,689,489,49,248,7672,85
35,622,1979,45,261,5960,61,277,6749,16
45,369,8158,49,516,919,93,379,6501,33
60,172,1223,85,811,7486,96,76,6110,42
41,608,5364,27,988,427,5,851,4913,49
6,373,467,29,819,7847,88,228,6652,19
29,945,8038,97,61,3068,70,936,112,93
49,386,9739,62,489,8699,19,499,1886,50
46,75,4730,46,401,391,31,883,6685,98
92,32,1996,67,11,8493,22,449,1210,19
39,983,1374,23,612,210,85,596,3883,68
4,582,6255,33,517,6389,89,566,5724,23
69,569,1309,50,367,3620,78,961,6570,87
57,71,488,22,241,1006,56,646,7525,75
43,302,5742,63,664,8046,62,159,7248,47
70,804,9419,71,617,4643,34,394,7605,20
31,181,3887,96,199,8200,56,637,7931,95
78,290,7695,11,991,2757,95,707,2161,75
76,574,4067,23,872,7081,71,992,3092,15
81,518,8378,82,151,9110,45,127,883,56
73,259,6068,95,464,2234,49,926,4063,91
39,801,7786,68,599,1385,9,191,3092,46
56,806,9384,74,385,1560,18,783,4346,44
10,725,4085,83,946,2814,41,82,6616,91
39,800,8485,18,795,7127,88,493,9632,19
46,248,6458,25,95,8788,55,471,4433,30
1,202,8376,80,982,9614,17,636,9449,83
90,8,2202,71,63,7624,48,380,2432,55
51,617,3513,82,940,4250,64,670,6037,91
71,882,9251,45,330,2719,58,685,9101,95
48,142,8458,60,202,5604,86,381,6659,11
58,91,8751,45,199,9410,21,284,9897,45
37,285,330,3,692,4445,31,53,544,6
15,368,7285,99,491,8692,50,665,6307,9
87,299,5679,90,189,1435,99,776,3773,94
86,278,1079,21,662,9219,56,554,4705,55
77,323,7148,65,290,963,21,399,1887,90
26,461,6828,74,861,6773,85,270,4124,60
73,722,9718,78,113,5937,13,29,6460,5
27,471,3089,57,678,9680,59,353,2700,44
88,568,9048,56,129,4893,79,21,9025,56
65,428,8995,54,423,7026,59,730,1173,90
44,227,7307,5,488,2209,79,542,8788,57
32,710,4293,58,478,555,61,937,2539,93
59,251,5760,7,941,7828,14,222,7920,54
49,785,7767,85,975,5383,82,53,5421,86
45,618,534,60,457,7488,74,642,9891,24
34,172,6875,60,474,2609,96,114,6784,74
40,560,5222,42,984,754,64,647,1801,65
57,14,6787,77,262,600,25,809,8898,59
76,686,1154,44,536,9641,42,846,1556,28
54,752,6693,8,623,1636,63,704,319,80
4,633,946,33,532,4000,57,411,478,86
4,132,5432,53,436,7119,79,454,9929,54
21,616,9220,15,824,3685,40,748,2535,11
33,611,8082,91,747,1757,51,329,5317,13
64,445,3143,38,154,3568,15,113,5020,45
58,467,4315,99,465,6790,40,29,4617,5
16,646,6316,48,612,2817,80,132,6146,17
50,329,5081,76,105,5379,22,907,4155,68
48,704,6294,17,477,6691,59,757,457,63
8,353,6149,95,375,6648,33,864,4355,45
73,86,6097,97,61,4351,65,611,5125,98
14,605,6577,74,18,3015,34,576,5270,39
28,935,9073,54,561,716,2,708,506,69
52,850,5265,26,285,8759,29,955,5784,57
24,568,6811,0,85,1570,27,125,7391,63
84,416,7108,36,206,1415,81,204,9807,26
80,481,6785,89,75,2359,13,207,8745,49
90,591,702,45,215,3716,0,113,7058,99
27,417,5788,68,809,4422,52,361,6768,25
22,413,4243,34,854,7109,52,949,2880,96
99,151,6055,90,628,8716,59,232,4667,77
2,991,1414,36,568,2461,3,74,3419,90
32,803,125,46,698,9717,65,390,8906,80
70,527,516,17,357,5391,38,877,5356,16
68,850,7216,90,577,2691,82,910,489,13
89,999,5046,98,151,7734,24,483,1041,40
16,825,1162,39,499,4879,54,406,4102,68
80,368,2844,81,496,4243,22,664,5981,11
66,2,60,25,764,5323,69,617,4204,70
66,976,5119,88,353,7145,60,322,5467,59
33,286,2221,69,339,2076,37,548,1007,11
7,770,3960,8,666,8283,12,607,6899,73
44,139,4906,75,627,5894,29,803,1425,96
59,165,6532,69,64,893,96,786,7360,99
55,173,4171,68,619,9305,59,308,9311,50
69,861,6690,2,242,3043,18,812,1757,3
21,487,8263,34,20,7794,3,628,5148,63
32,445,9422,83,129,5075,38,541,5317,24
49,325,8539,18,806,4639,10,687,8880,80
70,844,3885,34,465,1203,83,163,5599,8
82,308,8395,34,64,7037,75,151,7650,74
45,289,2627,39,457,3615,58,162,1621,38
51,644,7385,23,493,2741,45,698,1120,19
73,853,2688,89,664,4428,25,410,2298,3
86,887,5273,23,238,6709,59,256,1787,45
65,456,9511,85,118,3082,53,61,76,25
20,800,8409,51,340,5242,47,34,8474,36
23,26,6662,74,855,8007,65,119,5106,59
47,395,7183,15,798,9259,2,958,1561,19
12,367,2833,86,297,231,11,195,1951,68
63,529,3472,84,345,2720,65,390,7202,85
4,686,5653,49,694,5351,9,404,9208,34
17,169,2093,17,497,6131,26,69,7082,65
74,968,1574,1,900,1985,88,725,8603,63
36,856,9173,98,473,8678,18,657,8967,92
53,285,6933,70,918,3676,87,622,7687,45
31,36,2500,81,401,9022,27,206,2996,30
27,297,3723,9,823,6010,44,473,9505,4
85,783,9847,98,447,9480,83,849,9643,38
44,26,5075,86,491,4339,47,607,3070,25
27,918,9811,96,694,2333,87,995,6934,42
64,709,2955,24,504,2079,73,765,2331,24
69,862,6073,84,977,4525,40,774,6188,47
74,105,9072,81,971,2125,58,867,1299,19
41,511,111,12,512,94,64,190,1744,4
32,589,7843,36,893,4695,61,537,1137,88
15,154,1259,22,414,926,31,317,2722,75
12,16,9829,70,350,591,22,938,1117,39
20,746,5277,2,450,7139,43,737,2387,25
58,122,2639,18,946,1389,66,950,650,1
46,773,8327,36,471,6903,72,405,3641,69
38,461,3575,59,250,7491,92,240,6201,15
87,82,6234,22,752,5671,64,199,8134,1
42,649,3918,73,136,2458,56,95,4699,30
26,119,4520,72,604,5288,3,760,1934,88
36,172,3511,11,864,2856,17,961,4286,1
2,767,7693,32,431,7294,81,449,5175,59
75,439,6201,40,51,5816,78,738,3987,64
6,798,4543,34,684,9646,5,729,4556,32
57,252,7905,33,424,1730,14,772,5354,65
19,730,2938,21,916,2662,18,71,1723,9
78,998,492,51,717,2910,68,125,7780,25
64,423,9423,5,877,6158,87,507,3626,59
73,2,4808,3,300,4855,10,25,78,25
13,174,409,60,295,5484,90,808,9889,22
78,603,9264,88,802,9279,56,95,5931,17
97,496,631,41,278,1717,63,313,6680,71
48,367,565,42,613,2647,99,861,4818,32
88,407,7886,68,683,4918,47,828,6948,38
94,996,465,38,622,2997,49,496,3772,82
73,650,139,50,840,6007,32,287,1445,77
36,202,3622,40,458,9417,20,796,7698,50
5,242,3795,12,728,5094,97,781,1420,88
5,542,1660,3,209,1845,47,471,601,5
27,302,4275,97,19,5609,10,28,9288,11
77,589,8741,56,695,9087,25,539,7129,73
12,682,2469,84,149,6871,99,145,2104,13
12,778,480,25,264,1681,55,427,8289,88
9,875,4424,26,587,5382,28,458,99,81
79,567,4292,52,48,535,19,807,8344,63
38,773,128,17,679,5860,87,198,1669,51
98,128,3436,80,456,583,36,381,7376,32
78,331,5619,40,555,6943,69,565,1458,70
22,1,2588,18,135,5475,99,996,1699,4
36,675,2509,97,925,1391,79,136,4227,64
7,968,5026,18,175,5442,79,363,2180,3
89,335,6103,38,295,9678,30,980,2483,49
59,936,9395,79,417,2355,45,231,7763,72
85,873,3101,57,562,5433,75,297,4838,79
4,481,8332,38,799,2975,50,377,4909,62
97,704,7899,46,164,8336,73,575,8120,47
26,636,1369,28,923,5351,34,346,3300,44
18,800,8036,87,833,8055,75,21,4818,36
42,65,6173,2,558,2212,37,294,4735,40
42,638,5395,54,43,5466,2,133,1929,12
34,476,1732,58,256,3331,11,212,5683,62
83,105,9365,53,921,2627,27,136,9643,23
54,883,2243,97,745,6043,20,697,7542,49
60,328,8817,27,962,5315,64,147,9943,77
46,775,6154,8,728,2709,16,319,2071,70
76,219,9740,66,796,1030,82,347,6562,22
55,898,6735,15,657,5251,3,17,8100,70
81,427,2287,36,278,8922,55,482,3064,59
17,650,4672,11,354,67,93,759,5282,78
64,256,7190,66,38,4015,39,128,1703,41
95,943,5753,38,672,2827,75,687,3761,62
52,709,7985,90,805,4298,95,792,1676,37
88,169,7105,87,147,9031,78,359,9096,84
84,460,2293,71,177,9379,55,865,6575,52
90,428,899,23,106,962,49,355,2827,51
10,346,344,59,385,1749,59,832,2308,70
0,982,9398,32,694,6410,1,964,2623,28
82,545,1217,11,419,4096,40,907,351,98
95,106,1062,16,399,5797,68,954,5750,46
7,31,9406,12,75,6913,61,526,8671,57
18,316,5125,33,609,5887,93,34,3630,5
54,220,3723,18,794,9666,6,40,8358,42
15,261,2824,39,731,702,9,761,4595,62
98,871,9694,12,594,4708,1,955,7009,92
65,973,7180,41,399,1188,43,899,480,95
11,973,6571,99,836,1102,59,506,3917,11
92,96,5900,68,70,7911,74,130,9837,77
73,749,3288,61,64,5409,40,353,1652,90
61,983,6490,28,646,6332,22,38,8240,93
85,957,2102,12,992,2792,48,894,9648,35
97,290,808,48,406,8296,49,331,5351,21
57,778,2988,86,308,1598,58,368,5196,23
20,909,8078,77,978,2700,14,956,6060,47
36,876,9266,76,632,6408,50,649,6775,96
4,556,4306,17,767,4738,80,834,9953,24
69,537,8481,36,236,2778,17,584,2044,69
31,751,6704,96,895,6313,74,746,5827,6
66,985,2739,12,584,2072,38,261,255,55
9,295,8341,61,607,4097,74,522,9333,64
68,673,4658,86,889,1734,46,788,8815,73
87,590,3169,25,82,7377,37,292,8224,65
83,253,469,49,412,9954,31,754,9085,89
61,603,4641,0,80,4735,88,173,6958,63
36,606,376,15,477,8361,71,394,7037,82
94,65,2790,47,348,3841,93,127,945,25
46,149,5160,16,952,7285,99,130,8519,39
80,424,4882,99,833,3919,54,110,1461,84
48,314,2293,27,231,2019,46,323,5466,32
23,226,949,68,929,7959,77,863,5724,2
81,337,102,14,606,529,48,149,5997,51
25,747,7116,13,859,8116,98,432,5703,56
54,671,3386,66,736,4448,89,699,7978,28
6,802,3618,55,23,4361,82,374,6383,26
77,622,983,76,417,8574,66,754,6188,74
40,69,308,52,526,1977,95,87,888,92
1,387,4500,77,573,2362,69,71,9179,58
29,349,8204,67,606,9076,84,692,4666,73
80,753,3492,81,636,2499,45,518,1519,13
19,971,3202,13,550,5444,98,437,7095,95
55,868,1285,30,23,8787,76,654,1268,20
73,519,692,54,266,7594,54,221,1998,25
23,820,4168,34,483,5184,99,988,5424,55
11,340,1274,4,626,5338,25,645,9638,44
90,798,2594,87,5,9415,69,423,5568,22
14,21,5421,64,975,743,77,232,2469,92
72,653,3523,81,974,1605,66,216,8843,99
81,712,6126,40,60,591,76,588,6477,31
47,32,7992,56,584,2837,55,336,5292,81
60,911,7832,37,494,5998,61,782,3930,73
70,17,475,6,672,2802,62,366,9214,38
27,655,8584,97,200,8366,45,822,9486,72
99,29,7977,18,496,4918,48,136,7351,4
2,375,285,48,104,4077,14,462,6845,54
15,619,7359,23,806,7475,84,608,289,13
35,907,6258,93,732,6447,45,180,4283,43
3,13,9653,77,907,1265,73,272,8461,80
98,615,9639,49,563,1800,50,687,5973,59
8,100,5401,95,133,2194,35,401,6926,67
11,221,154,93,451,9174,64,281,1918,64
73,212,3320,67,558,5519,97,217,8089,6
43,254,9753,32,273,9816,33,853,2349,63
65,645,287,27,620,4758,83,957,4236,53
18,919,6164,45,776,3047,7,301,3287,49
12,524,5884,33,728,4484,0,940,4329,19
54,691,228,28,698,2480,67,179,1725,18
96,499,3563,0,393,2334,91,92,284,82
64,493,5080,10,297,5591,76,286,5209,81
91,380,8531,6,442,1021,47,449,7176,68
69,219,4964,86,51,7695,88,75,2604,91
2,80,5849,76,768,4700,7,606,4945,33
24,969,8640,67,431,4538,65,254,3717,39
51,204,4266,55,760,5415,55,655,7049,69
15,490,4176,6,41,3004,63,821,8687,76
42,224,8373,77,703,7651,54,488,764,75
55,838,2397,89,711,3693,19,160,7421,58
67,612,7916,42,599,7828,49,840,2085,48
7,836,396,61,911,3330,20,995,1438,29
79,763,8843,95,939,7374,24,41,6332,71
43,480,493,54,872,2248,99,82,2981,69
37,97,7627,70,702,1326,78,889,3665,48
22,909,5987,31,426,9909,17,668,471,69
5,754,4056,47,848,2529,5,536,2645,30
42,126,6049,78,397,1771,20,560,1274,19
43,212,828,37,650,2626,1,949,1040,48
79,849,2955,51,588,9843,71,307,3706,19
79,205,7901,82,898,6060,56,336,905,92
22,602,286,78,742,4616,66,588,4714,98
15,422,8731,18,516,8805,66,702,1808,36
99,741,9910,98,405,8886,46,508,9147,83
75,431,2506,14,75,4693,48,600,5801,79
8,793,6192,41,432,5314,91,664,6422,62
81,759,2936,93,846,824,84,766,3330,32
8,795,1,93,288,8539,91,879,5999,44
84,320,9698,32,21,1950,65,600,6978,24
57,780,4590,72,57,4054,82,600,9194,5
64,866,5487,60,494,9413,63,299,9447,17
58,631,6196,54,949,9994,98,561,2691,81
22,341,3559,98,402,6191,6,803,3528,6
68,684,2629,35,578,9833,97,509,6273,36
18,2,3263,5,423,8361,67,870,9390,68
34,750,7431,13,940,5793,50,902,3421,96
96,305,3432,9,472,6443,12,182,6631,90
54,852,8197,36,102,9692,7,88,306,81
81,640,5008,98,698,513,97,650,6060,51
39,354,2645,87,714,6421,49,559,676,14
13,51,4494,1,383,8379,95,489,3608,81
83,165,7092,85,432,9557,66,782,6513,90
12,247,3604,37,227,1758,99,979,6736,24
52,521,5424,20,243,2290,92,448,4720,25
79,87,7618,72,493,5934,68,567,518,13
94,958,3027,99,845,7805,47,121,180,70
38,757,2589,86,360,6244,99,435,2942,84
98,238,1544,22,728,7762,9,963,8401,33
83,307,6769,58,187,7012,25,161,5883,53
64,263,8560,19,123,9839,81,934,6157,0
55,569,8371,33,869,5891,61,343,9972,2
39,688,3677,78,195,9767,39,863,9189,87
45,387,1852,26,536,2861,50,85,3481,61
76,289,6179,35,538,859,36,588,134,51
6,415,8293,36,781,5033,8,754,2494,37
44,249,5991,5,433,5190,61,338,5380,43
21,792,7579,25,279,9970,73,159,9309,69
6,244,5215,11,55,6417,14,14,8280,34
83,926,8933,75,772,7436,71,265,8579,6
51,741,7719,72,649,7026,74,984,3407,48
99,393,6385,1,542,4767,77,518,9238,53
67,930,6095,36,449,1397,13,736,8147,25
69,935,5112,77,553,2455,78,767,6948,2
66,460,3978,89,590,1618,6,169,9905,38
2,955,3902,81,810,4161,80,440,7780,53
57,717,195,63,421,1667,70,129,1097,73
66,963,4862,67,459,4066,57,714,643,57
99,375,2928,11,573,8847,39,487,2499,21
53,355,9493,90,940,3349,68,86,44,62
8,898,607,98,649,1853,71,255,4791,73
53,114,2560,50,239,4677,88,515,4791,99
79,637,7347,21,114,3798,27,292,7164,82
50,506,7563,92,771,7284,86,517,8199,10
15,706,5579,79,21,2957,72,577,6085,33
11,770,1463,93,170,4961,76,48,4505,7
19,319,3292,77,838,9844,63,280,9483,57
52,175,2220,21,232,9587,79,823,5902,77
30,378,9052,96,382,1982,57,857,9207,22
93,765,4207,56,47,466,68,575,3470,0
20,180,5925,48,826,3468,98,198,6249,71
2,391,2147,16,844,3267,86,226,5361,66
20,174,3010,76,72,1338,62,234,6419,21
91,572,2575,5,910,9008,25,105,5387,55
27,627,5058,64,40,6038,24,228,2868,19
4,538,4387,44,980,1598,42,111,7421,68
70,328,9654,31,118,1180,33,443,6482,65
68,965,3130,74,684,6612,96,422,1691,64
72,19,9163,18,14,593,33,796,9067,36
46,867,3495,85,446,3039,28,426,4878,26
84,393,1831,57,162,5608,2,28,8329,86
19,539,7916,46,850,2463,43,264,2166,94
37,963,133,51,698,2050,15,77,5557,87
36,179,5703,56,821,8427,28,524,4889,77
57,129,9251,8,944,2695,87,14,1733,58
16,677,238,66,131,9890,36,766,6516,70
41,640,3933,37,907,1528,64,27,1398,14
91,938,8762,65,174,1905,9,262,9632,21
94,185,5369,49,530,5053,4,410,7646,68
96,703,1477,36,471,1438,16,599,9076,80
31,386,8276,28,863,1732,29,690,430,25
61,68,8230,96,28,4841,63,591,8122,38
95,117,8280,40,47,3840,30,485,6620,82
86,7,3821,17,580,9080,59,287,7145,6
20,911,4979,77,496,6706,71,400,1744,31
88,587,2767,76,550,3591,44,650,8424,34
32,467,8094,29,741,1894,86,151,211,14
66,653,7968,64,397,2758,0,901,7904,68
5,219,3591,24,406,2530,89,590,3761,90
91,381,5933,68,665,9296,43,971,648,61
65,800,1513,95,503,4245,13,316,932,60
31,42,9616,20,833,7111,7,625,1618,54
63,553,8108,11,299,9893,26,677,4686,19
25,813,328,71,412,6209,62,557,9601,52
61,174,1814,8,573,4866,18,455,6489,70
4,622,8715,65,647,6723,18,383,8646,31
10,343,4275,32,839,4801,79,373,6843,83
73,257,575,27,790,3425,52,639,946,47
78,613,3084,27,705,2157,2,642,5480,14
81,232,4182,24,51,8339,4,622,3880,83
48,837,2094,90,672,9709,95,561,323,15
77,32,5658,55,599,2183,32,443,9314,2
91,452,5230,35,267,9253,18,495,3095,64
93,826,6875,78,532,8603,82,994,3682,99
61,171,2958,76,664,7325,62,400,2819,71
59,87,3940,45,699,3282,90,13,4502,20
76,411,2204,5,44,7548,82,40,4786,26
83,431,1693,32,661,7955,71,782,9901,3
1,959,4270,20,981,3388,3,642,4364,39
88,224,9513,85,995,7892,20,674,8479,7
58,624,7957,51,840,5260,61,15,542,15
75,441,3502,75,0,2620,83,912,2143,76
24,913,5052,46,155,2810,14,545,8888,37
67,88,1336,39,828,785,46,821,5465,56
41,676,2467,52,800,4819,65,64,2236,24
75,284,3301,44,26,8325,54,667,5810,13
70,179,6981,87,705,674,81,653,5789,47
54,316,3333,31,79,8073,43,351,4293,63
37,883,1723,52,476,2116,27,968,7613,55
95,332,8106,28,733,3362,35,869,5376,53
42,692,1702,91,468,7477,90,295,2061,55
69,624,2453,88,848,9174,96,988,6349,3
52,975,5231,24,290,9223,49,985,1557,81
90,76,9604,66,169,5766,63,221,3818,50
98,147,2888,50,184,4851,47,28,4735,13
20,834,3107,42,600,5814,96,915,5297,64
19,357,4038,92,814,5005,94,368,7670,38
18,938,3638,24,365,3092,65,840,4371,18
32,953,7226,75,940,232,96,307,4730,35
62,102,8011,87,467,7987,80,255,3124,8
67,397,1862,81,100,5603,60,37,9818,57
